"id","document type","description","issued by","used by","mode of transport","notes"
"0","Bill of Lading","A legal document issued by a carrier to a shipper acknowledging receipt of cargo for shipment","Ocean Carrier or Forwarder","Shipper and Consignee","Sea","Serves as receipt, contract, and document of title"
"1","Air Waybill","Non-negotiable document that covers goods transported by air","Airline or Air Forwarder","Shipper and Consignee","Air","Acts as a contract and proof of shipment"
"2","House Bill of Lading","Issued by a freight forwarder to a shipper as part of consolidated cargo","Freight Forwarder","Shipper","Sea","Represents the forwarder’s contract of carriage"
"3","Master Bill of Lading","Issued by the main carrier to the freight forwarder for consolidated cargo","Shipping Line","Freight Forwarder","Sea","Shows details of multiple shipments under one master shipment"
"4","Commercial Invoice","Lists goods sold and their value for customs and accounting","Exporter","Importer","All","Used for customs valuation and payment"
"5","Packing List","Provides details of contents, dimensions, and weight of each package","Exporter","Importer and Customs","All","Used for verification during inspection"
"6","Certificate of Origin","Certifies the country where goods were manufactured","Chamber of Commerce","Importer and Customs","All","Used for preferential duty rates"
"7","Proforma Invoice","Preliminary bill of sale before goods are shipped","Exporter","Importer","All","Used to obtain import licenses or open L/Cs"
"8","Insurance Certificate","Provides proof of cargo insurance coverage","Insurance Company","Shipper and Consignee","All","Needed for claims in case of loss or damage"
"9","Export Declaration","Lists details of goods leaving the country for export","Exporter or Customs Broker","Customs Authority","All","Required for export compliance"
"10","Import Declaration","Filed by importer for customs clearance","Importer or Customs Broker","Customs Authority","All","Used to calculate duties and taxes"
"11","Letter of Credit","Guarantees payment from buyer’s bank to seller","Issuing Bank","Exporter","All","Used to ensure payment security"
"12","Booking Confirmation","Confirms space reservation on a carrier","Carrier or Forwarder","Shipper","All","Proof of space allocation"
"13","Delivery Order","Authorizes release of goods to consignee","Carrier or Agent","Consignee","All","Required to collect cargo"
"14","Dangerous Goods Declaration","Certifies cargo containing hazardous materials","Shipper","Carrier","All","Must comply with IMDG/IATA regulations"
"15","Shipper’s Letter of Instruction","Provides specific instructions to freight forwarder","Shipper","Forwarder","All","Guides document preparation"
"16","Export Packing Declaration","Details export package specifications","Exporter","Forwarder or Customs","All","Ensures compliance with packaging standards"
"17","Cargo Manifest","Comprehensive list of cargo loaded on a vessel or aircraft","Carrier","Customs and Port Authority","All","Used for cargo control"
"18","Import License","Authorizes import of restricted goods","Government Authority","Importer","All","Needed for regulated items"
"19","Export License","Authorizes export of controlled goods","Government Authority","Exporter","All","For restricted or sensitive goods"
"20","Cargo Receipt","Proof of cargo receipt by carrier","Carrier","Shipper","All","Confirms goods handed over"
"21","Cargo Release Order","Instruction for release of goods after payment","Forwarder or Carrier","Consignee","All","Issued after settlement of charges"
"22","Freight Invoice","Details freight and handling charges","Carrier or Forwarder","Importer","All","Used for payment of logistics costs"
"23","Customs Entry Form","Used to declare goods to customs","Customs Broker","Customs","All","Varies by country"
"24","Arrival Notice","Notifies consignee of cargo arrival","Carrier or Forwarder","Consignee","All","Triggers clearance and delivery arrangements"
"25","Warehouse Receipt","Confirms storage of goods at warehouse","Warehouse Operator","Shipper or Consignee","All","Serves as proof of storage"
"26","Weight Certificate","Certifies gross and net weight of cargo","Surveyor or Exporter","Importer and Customs","All","Supports compliance and verification"
"27","Inspection Certificate","Confirms goods meet specified standards","Inspection Agency","Importer","All","Often required in trade contracts"
"28","Fumigation Certificate","Proves cargo was treated for pests","Fumigation Company","Customs and Importer","All","Needed for agricultural goods"
"29","Phytosanitary Certificate","Certifies plant products are pest-free","Plant Quarantine Authority","Importer","All","Essential for agricultural exports"
"30","Health Certificate","Certifies food or animal products are safe","Health Authority","Importer","All","Required for edible or live goods"
"31","Export Cargo Shipping Instruction","Guides forwarder in preparing shipping documents","Shipper","Forwarder","All","Ensures accuracy of export documents"
"32","Delivery Note","Accompanies goods during delivery","Shipper","Receiver","All","Proof of delivery"
"33","Goods Receipt Note","Records receipt of goods at destination","Receiver","Shipper","All","Used in inventory management"
"34","Consignment Note","Details transport contract between sender and carrier","Carrier","Shipper","Land","Proof of transport agreement"
"35","Interchange Receipt","Documents handover of container between parties","Terminal or Carrier","Trucker or Forwarder","Sea","Used for liability tracking"
"36","Trucking Waybill","Details goods transported by road","Trucking Company","Shipper and Consignee","Land","Serves as contract and receipt"
"37","Certificate of Analysis","Describes chemical or physical properties of goods","Manufacturer or Lab","Importer","All","Used for quality assurance"
"38","Export Control Document","Authorizes export of sensitive goods","Government Agency","Exporter","All","Ensures regulatory compliance"
"39","ATA Carnet","Allows temporary import/export of goods without duties","Chamber of Commerce","Trader","All","For exhibitions or samples"
"40","Cargo Insurance Policy","Formal insurance contract for cargo","Insurance Company","Shipper or Buyer","All","Covers risks during transit"
"41","Forwarder’s Cargo Receipt","Proof that forwarder received cargo","Freight Forwarder","Shipper","All","Used to issue Bill of Lading later"
"42","Freight Quotation","Provides estimated transport cost","Freight Forwarder","Shipper","All","Used for rate comparison"
"43","Export Invoice","Specialized invoice for international sales","Exporter","Importer","All","Includes HS code and Incoterms"
"44","Import Duty Payment Receipt","Proof of customs duty payment","Customs Authority","Importer","All","Required to release goods"
"45","Consular Invoice","Certified by consulate of importing country","Exporter","Importer and Customs","All","Facilitates customs clearance"
"46","Load Plan","Details cargo stowage arrangement","Carrier","Operations Team","All","Ensures safe and balanced loading"
"47","Transit Declaration","Used for goods passing through a country","Customs Broker","Customs","Land/Sea","Enables movement under customs control"
"48","Export Control Classification","Classifies goods under export control rules","Exporter","Customs or Authorities","All","Supports compliance with export laws"
"49","Container Load Plan","Specifies loading order and cargo details within container","Shipper","Carrier","Sea","Ensures optimal space use"
"50","Empty Container Release Order","Authorizes pickup of empty container","Shipping Line","Shipper","Sea","Issued before cargo stuffing"
"51","Cargo Damage Report","Details damage found on cargo during transit","Surveyor or Receiver","Insurance or Shipper","All","Used for claims process"
"52","Certificate of Inspection","Confirms goods inspected for quantity and quality","Third-Party Inspector","Importer","All","May be required for L/C compliance"
"53","Import Permit","Official permission to import regulated goods","Government Authority","Importer","All","Needed for controlled commodities"
"54","Forwarding Instruction","Details shipper’s instructions to forwarder","Shipper","Freight Forwarder","All","Guides shipping arrangements"
"55","Stowage Plan","Describes placement of cargo on vessel","Carrier","Port and Operations","Sea","Used for balance and efficiency"
"56","Goods Declaration Form","Declares cargo content for customs purposes","Exporter or Importer","Customs","All","Required for border control"
"57","Consolidation Manifest","Lists all shipments under one consolidation","Freight Forwarder","Customs","All","Used for grouped shipments"
"58","Export Authorization","Government approval for export of specific goods","Regulatory Body","Exporter","All","For restricted exports"
"59","Release Order","Authorizes release of goods from warehouse","Warehouse Operator","Consignee","All","Issued after payment or clearance"
